t,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th
2580,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2640,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2700,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2760,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2820,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2880,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2940,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
3000,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
3060,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
3120,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
3180,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
3240,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
3300,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
3360,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
3420,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
3480,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
3540,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
3600,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
3660,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
3720,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
3780,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
3840,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
3900,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
3960,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4020,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4080,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4140,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4200,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4260,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4320,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4380,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4440,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4500,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4560,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4620,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4680,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4740,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4800,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4860,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
4920,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
