t,robot_0,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6,robot_7,robot_8,robot_9,robot_10,robot_11,robot_12,robot_13,robot_14
2640,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2700,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2760,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2820,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2880,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2940,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3000,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3060,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3120,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3180,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3240,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3300,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
